file,Roi group,Roi tags,Roi name,16O mean,16O stddev,16O median,12C21H mean,12C21H stddev,12C21H median,12C15N mean,12C15N stddev,12C15N median,31P mean,31P stddev,31P median,32S mean,32S stddev,32S median,31P/32S mean,31P/32S stddev,31P/32S median
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,lamella,null,69,1641.0357142857142,77.78483244650052,1654.0,5399.642857142857,210.3878630293414,5400.0,72.71428571428571,17.654832814080166,68.0,17.535714285714285,5.014661045058319,16.0,171.03571428571428,55.49339776736685,176.0,1066.239440373012,737.7405253216766,813.4920654296875
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,background,null,70,723.9753292912399,63.02642141924962,723.0,3973.20614676981,308.67707790359873,3985.0,6.714405185030316,2.6246378524860363,7.0,0.10767300857202593,0.32834464371692185,0.0,9.380723395358562,3.1529298576026004,9.0,118.4054645950665,919.0603142685055,0.0
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,background,null,71,792.7154688377316,150.56428479045812,820.0,4140.308534531162,664.2188735930481,4251.0,6.58422234699607,2.623249075886168,6.0,0.09601347557551937,0.31800453190436584,0.0,9.935148792813026,3.427474829466084,10.0,109.76199441917286,934.0483086515638,0.0
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,background,null,72,746.6255813953488,72.88768285780498,745.0,3611.1058139534885,354.9985730398502,3613.0,6.841085271317829,2.7864991190623427,7.0,0.2833333333333333,0.5413793841527654,0.0,7.515503875968992,2.881152391379225,7.0,333.6993990166243,1610.2469530599985,0.0
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,nuclei,airway,73,973.8615664845173,105.02324628883501,973.0,3181.2586520947175,317.8948813755094,3198.0,107.84517304189436,15.446507631446114,110.0,22.739526411657558,7.281582641205569,22.0,155.5992714025501,29.00131634655814,156.0,1660.877480539902,1014.8197270922051,1463.41455078125
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,nuclei,airway,74,1511.769113149847,113.01747507537453,1504.0,4628.750764525994,310.69447077870905,4634.0,76.18654434250764,10.276666025994153,76.0,39.92354740061162,14.815360668773323,39.0,206.9709480122324,36.322750265484416,206.0,2202.9231547784366,1344.0860875575133,1929.6690673828125
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,nuclei,airway,75,1480.094017094017,132.812089348663,1475.0,4375.661538461539,347.18395252583997,4334.0,73.65128205128205,9.262982516452537,74.0,37.126495726495726,13.427420275970105,37.0,217.95726495726495,31.4015620964272,212.0,1866.7343665489784,1053.2973501269037,1764.7059326171875
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,nuclei,airway,76,1420.459040590406,367.19396714836853,1385.0,4276.115867158672,744.9799025814475,4309.0,74.45756457564576,19.707092762318197,76.0,19.994833948339483,11.18453259871538,19.0,182.55940959409594,50.648774429418566,186.0,1124.9066900612243,826.6497338689741,985.91552734375
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,background,null,77,838.8382835927459,69.7509952338915,834.0,4441.541053834071,311.0238778880126,4432.0,7.256461516492932,2.7169557674188383,7.0,0.1002427531058118,0.31721511937931085,0.0,9.749607311152364,3.179379213657127,10.0,111.68031230198218,897.3306206032289,0.0
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,nuclei,airway,78,1487.2644483362521,117.23970847214578,1501.0,4527.968476357268,369.2339994812742,4493.0,148.7863397548161,18.36395847754688,148.0,35.08231173380035,11.878561799981716,34.0,183.39404553415062,26.829361363044036,181.0,2118.721121659421,1256.2891299872983,1842.105224609375
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,nuclei,airway,79,1432.6271186440679,121.28327542066239,1433.0,4246.067796610169,252.32724948377913,4239.0,68.57627118644068,10.457495229331668,68.0,28.90960451977401,10.916145692254428,28.0,182.19209039548022,37.599826895043506,171.0,1750.193115234375,1131.8370815746719,1489.3616943359375
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,nuclei,AT2,80,976.4362068965518,133.45883564024138,966.0,3060.3,374.0192185453074,2989.0,59.907758620689656,11.050871862207913,59.0,16.800862068965518,6.063725375867159,16.0,162.95172413793102,25.676579011000108,162.0,1105.6738787815489,731.6141248106161,1000.0
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,lamella,null,81,785.219512195122,47.22579390286729,781.0,2442.1951219512193,140.67732928801908,2463.0,77.07317073170732,7.979317777549779,77.0,17.682926829268293,5.763848646478514,18.0,119.48780487804878,14.028759658678867,121.0,1665.426513671875,972.4902599566352,1428.571533203125
