file,Roi group,Roi tags,Roi name,12C14N mean,12C14N stddev,12C14N median,area,12C22H mean,12C22H stddev,12C22H median,12C15N/12C14N mean,12C15N/12C14N stddev,12C15N/12C14N median,12C22H/12C21H mean,12C22H/12C21H stddev,12C22H/12C21H median
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,lamella,null,54,2415.173333333333,112.68976467746778,2390.0,75.0,3.04,1.47446737978636,3.0,45.20731964111328,13.663667213979966,46.0299186706543,9.381480093002319,4.584579450732451,9.41028881072998
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,lamella,null,55,2586.0533333333333,152.14785601542366,2571.0,75.0,3.3066666666666666,1.5936812164983998,3.0,40.89770634333293,13.288990601092065,39.2310676574707,10.04262455622355,4.912264478824346,9.966777801513672
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,lamella,null,56,2602.663716814159,91.29510730704469,2602.0,113.0,2.6548672566371683,1.8553489828852414,2.0,42.23299759890126,12.623273209498455,40.620384216308594,7.9529983617563165,5.541146100626128,6.176652431488037
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,lamella,null,57,2667.3283582089553,91.41735596431405,2663.0,67.0,3.044776119402985,1.551468862380495,3.0,38.81340644608682,9.44499553580332,38.86513900756836,9.286540835651,4.720154319743691,9.302326202392578
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,lamella,null,58,2642.4861111111113,138.01234819785535,2647.0,72.0,3.361111111111111,1.8022330089270793,3.0,44.91955942577786,12.19710844709724,45.2830810546875,9.801071574290594,5.193356971230591,9.062273025512695
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,lamella,null,59,2242.1441441441443,138.06644295390055,2239.0,111.0,2.7387387387387387,1.671753090249393,3.0,43.14407799694989,15.300238049975436,41.95804214477539,8.794990161517719,5.3758810334253635,9.063444137573242
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,lamella,null,60,2146.032258064516,93.37040354450932,2143.0,31.0,2.5806451612903225,1.857851690320249,2.0,47.52346057276572,17.60610315217605,46.66949462890625,8.826607542653237,6.517424970812291,7.042253494262695
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,lamella,null,61,2485.1,93.33744038582684,2502.5,10.0,2.7,2.2135943621178655,2.0,45.282679080963135,19.457309871676745,42.96236801147461,8.728754615783691,7.400866435853356,6.425052642822266
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,lamella,null,62,2656.181818181818,108.14153184179938,2633.0,33.0,3.8181818181818183,2.037991435435657,4.0,41.137593587239586,16.09148398012991,38.12428665161133,11.400617635611331,6.120496053524961,11.806375503540039
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,nuclei,airway,63,3254.5187969924814,235.4599241953219,3248.0,399.0,1.037593984962406,0.9929855624327624,1.0,50.716445100636115,13.930291263007357,50.47505569458008,3.07013193646768,2.9186798599681976,2.9455082416534424
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,nuclei,airway,64,3209.274346793349,209.97279033815522,3219.0,842.0,1.1353919239904988,1.0797924012530853,1.0,57.66556669244291,14.50175226781313,56.53173065185547,3.2118361123667194,3.0218082649071754,2.862049102783203
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,nuclei,airway,65,3031.7471636953,326.1441313462273,3019.0,617.0,0.9854132901134521,0.9892840776953442,1.0,53.46432613205871,14.308829819451825,52.91004943847656,2.925835466462171,2.919797357389586,2.8826749324798584
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,nuclei,airway,66,3136.3031761308953,285.0751101031219,3135.0,1039.0,1.3638113570741097,1.242503264099017,1.0,63.016012349647326,16.58263632331817,61.87785720825195,3.7386211889999434,3.3478221278491804,2.8918449878692627
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,nuclei,airway,67,3234.5676470588237,188.08382807628058,3217.0,340.0,1.4264705882352942,1.1510694843641982,1.0,64.82460953768562,16.68515709615145,63.781982421875,4.010009074211121,3.2337379543222013,2.9381518363952637
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,lamella,null,68,2476.978723404255,362.8246366066804,2488.0,47.0,1.8085106382978724,1.1912415494903594,2.0,55.69443869083486,17.877851145465467,57.73196029663086,4.301460575550161,2.838850193878471,4.549590587615967
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,lamella,null,69,2668.5,354.8001524071659,2708.5,28.0,1.8928571428571428,1.2863754913562,2.0,61.54102679661342,13.441336905323894,62.92353820800781,4.536332947867257,3.1120604769618847,4.68556547164917
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,background,null,70,406.70855111854485,33.58996272756428,407.0,4783.0,0.5914697888354589,0.7754778841763378,0.0,36.83447280220225,30.212896970396105,26.73796844482422,1.9028037533011368,2.490068031890564,0.0
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,background,null,71,395.91479505895563,46.55004338842038,401.0,7124.0,0.6219820325659742,0.7915563826457505,0.0,37.75587432776724,31.02988171129665,27.700830459594727,1.9253954196966878,2.5236844073842697,0.0
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,background,null,72,399.47093023255815,65.70845998615704,390.0,2580.0,0.5658914728682171,0.748217074169309,0.0,38.50921603321105,31.77995580744772,30.25725555419922,1.9970447503319082,2.6419309443472825,0.0
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,nuclei,airway,73,2463.2841530054643,168.40729690210682,2476.0,549.0,1.947176684881603,1.4305504809616125,2.0,96.7209009959181,20.947914450221873,94.93670654296875,7.974254268548962,5.919655993763732,7.716049671173096
