time,3300,1100,370,120,41,14,4.6,1.5,0.51,0.17,0.056,0
2.4,7.0963,6.9244,6.8555,6.7881,6.973,7.1876,7.3606,7.4843,7.6161,7.573,7.5874,7.4727
2.48,7.0771,7.0214,6.862,6.8312,6.9091,7.1329,7.4187,7.4728,7.5284,7.6149,7.5968,7.4661
2.56,7.067,7.0664,6.9107,6.896,6.829,7.1179,7.4466,7.4676,7.4973,7.725,7.6128,7.4214
2.64,7.0713,6.9365,6.8971,6.9147,6.9452,7.117,7.4101,7.4217,7.6854,7.681,7.5533,7.4283
2.72,7.0304,6.8536,6.8897,6.8549,7.1183,7.1174,7.3979,7.3614,7.793,7.564,7.4916,7.4549
2.8,7.0986,6.949,6.9545,6.8768,7.0506,7.1851,7.2608,7.4315,7.627,7.5331,7.4456,7.3822
2.88,7.2271,6.9937,6.976,6.9723,6.9374,7.2288,7.1419,7.5169,7.522,7.5111,7.4371,7.3291
2.96,7.1874,6.8987,6.9647,6.8452,6.9853,7.2276,7.2197,7.514,7.5613,7.5549,7.4264,7.4301
3.04,7.1165,6.8294,6.972,6.6838,7.0601,7.1856,7.2842,7.5129,7.5857,7.6277,7.3917,7.5151
3.12,7.0843,6.8651,6.9081,6.783,7.0273,7.1904,7.3111,7.4219,7.6661,7.5608,7.5085,7.5079
3.2,7.093,6.8772,6.8663,6.9121,6.9954,7.2463,7.3109,7.3428,7.7485,7.4682,7.6709,7.4777
3.28,7.1795,6.8169,6.9367,6.9111,7.0938,7.1674,7.2506,7.4165,7.6557,7.4652,7.6107,7.5345
3.36,7.1981,6.8094,7.0053,6.9573,7.1785,7.127,7.2402,7.5063,7.5525,7.4635,7.4724,7.6157
3.44,7.132,6.8205,7.0003,6.9869,6.9062,7.1862,7.3275,7.5143,7.5553,7.4457,7.3794,7.4623
3.52,7.1147,6.8334,6.957,6.9487,6.6532,7.2038,7.369,7.4529,7.5702,7.4593,7.3806,7.3661
3.6,7.1246,6.8617,6.9322,6.9323,6.6509,7.2053,7.3496,7.411,7.5714,7.4808,7.4299,7.4157
3.68,7.0877,6.8416,6.9449,6.8425,6.959,7.1558,7.2502,7.2524,7.6541,7.4452,7.5144,7.4807
