experiment,batch,trial,condition,treatment,dose,protein,background,density
ipf-lf,1,4,tgfb,DMSO,,sma,143862888,241660467
ipf-lf,1,4,tgfb,AZD3965,,sma,158367102,246766716
ipf-lf,1,4,tgfb,VB124,,sma,110112747,189991332
ipf-lf,1,4,tgfb,AZD/VB,,sma,165738159,129233136
lactyl,6,1,control,DMSO,,lactylk,675480141,10355072
lactyl,6,1,tgfb,DMSO,,lactylk,638360730,11325080
lactyl,6,1,control,AZD3965,,lactylk,751601970,5333016
lactyl,6,1,tgfb,AZD3965,,lactylk,798373044,25504128
lactyl,6,1,control,VB124,,lactylk,844003503,9937304
lactyl,6,1,tgfb,VB124,,lactylk,822064950,18268432
lactyl,6,1,control,AZD/VB,,lactylk,758335851,63881896
lactyl,6,1,tgfb,AZD/VB,,lactylk,1043745885,80145624
lactyl,6,1,control,DMSO,,h3,675480141,123373386
lactyl,6,1,tgfb,DMSO,,h3,638360730,117617220
lactyl,6,1,control,AZD3965,,h3,751601970,114883518
lactyl,6,1,tgfb,AZD3965,,h3,798373044,118387320
lactyl,6,1,control,VB124,,h3,844003503,122892354
lactyl,6,1,tgfb,VB124,,h3,822064950,121784838
lactyl,6,1,control,AZD/VB,,h3,758335851,105317244
lactyl,6,1,tgfb,AZD/VB,,h3,1043745885,125579034
lactyl,6,2,control,DMSO,,lactylk,604268037,109455773
lactyl,6,2,tgfb,DMSO,,lactylk,1102704120,113769117
lactyl,6,2,control,AZD3965,,lactylk,700351542,76201937
lactyl,6,2,tgfb,AZD3965,,lactylk,825257329,72314690
lactyl,6,2,control,VB124,,lactylk,556581831,130683280
lactyl,6,2,tgfb,VB124,,lactylk,876435970,107369745
lactyl,6,2,control,AZD/VB,,lactylk,660729547,253184442
lactyl,6,2,tgfb,AZD/VB,,lactylk,878609741,376607833
lactyl,6,2,control,DMSO,,h3,604268037,613109695
lactyl,6,2,tgfb,DMSO,,h3,1102704120,554403025
lactyl,6,2,control,AZD3965,,h3,700351542,497368950
lactyl,6,2,tgfb,AZD3965,,h3,825257329,337032710
lactyl,6,2,control,VB124,,h3,556581831,446165690
lactyl,6,2,tgfb,VB124,,h3,876435970,441349625
lactyl,6,2,control,AZD/VB,,h3,660729547,467021980
lactyl,6,2,tgfb,AZD/VB,,h3,878609741,489644550
lactyl,6,3,control,DMSO,,lactylk,710093417,45621056
lactyl,6,3,tgfb,DMSO,,lactylk,1304745189,54491216
lactyl,6,3,control,AZD3965,,lactylk,820276809,45951984
lactyl,6,3,tgfb,AZD3965,,lactylk,1002978427,61416992
lactyl,6,3,control,VB124,,lactylk,736683321,21020480
lactyl,6,3,tgfb,VB124,,lactylk,1078115588,64180688
lactyl,6,3,control,AZD/VB,,lactylk,906400220,161106192
lactyl,6,3,tgfb,AZD/VB,,lactylk,1159522111,254697040
lactyl,6,3,control,DMSO,,h3,710093417,460619071
lactyl,6,3,tgfb,DMSO,,h3,1304745189,345783812
lactyl,6,3,control,AZD3965,,h3,820276809,499261917
lactyl,6,3,tgfb,AZD3965,,h3,1002978427,583566874
lactyl,6,3,control,VB124,,h3,736683321,570043947
lactyl,6,3,tgfb,VB124,,h3,1078115588,621331502
lactyl,6,3,control,AZD/VB,,h3,906400220,662531254
lactyl,6,3,tgfb,AZD/VB,,h3,1159522111,596472415
lactyl,6,4,control,DMSO,,lactylk,300193770,113328288
lactyl,6,4,tgfb,DMSO,,lactylk,478981062,171374166
lactyl,6,4,control,AZD3965,,lactylk,393827658,139402971
lactyl,6,4,tgfb,AZD3965,,lactylk,384851484,148425741
lactyl,6,4,control,VB124,,lactylk,261911808,117903618
lactyl,6,4,tgfb,VB124,,lactylk,372071052,175712508
lactyl,6,4,control,AZD/VB,,lactylk,845041710,378558837
lactyl,6,4,tgfb,AZD/VB,,lactylk,562432938,355526370
lactyl,6,4,control,DMSO,,h3,300193770,281497008
lactyl,6,4,tgfb,DMSO,,h3,478981062,378178906
lactyl,6,4,control,AZD3965,,h3,393827658,386351700
lactyl,6,4,tgfb,AZD3965,,h3,384851484,384933920
lactyl,6,4,control,VB124,,h3,261911808,414364103
lactyl,6,4,tgfb,VB124,,h3,372071052,401748760
lactyl,6,4,control,AZD/VB,,h3,845041710,497204750
lactyl,6,4,tgfb,AZD/VB,,h3,562432938,440433493
